[LOG] System::create                           : Header version = 1.09.05. Current version = 1.09.01.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : FMOD Studio Version: 00010901 (84161)
[LOG] SystemI::init                            : maxchannels = 256, flags = 00020000, extradriverdata = 0000000000000000
[LOG] SystemI::setOutputInternal               : Setting output to type 0
[LOG] SystemI::setOutputInternal               : Setting output to type 8
[LOG] SystemI::setOutputInternal               : Setting output to type 8
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=8, nSamplesPerSec=48000, nAvgBytesPerSec=1536000, nBlockAlign=32, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x0000063F, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] SystemI::init                            : Create master channel group and master sound group.
[LOG] DownMix::init                            : dspbuffersize: 1024  rate: 48000. output speaker mode: 7, input speaker mode 3
[LOG] DownMix::init                            : done.
[LOG] SystemI::init                            : Set up emulated output.  256 channels
[LOG] SystemI::init                            : create the channel pool
[LOG] SystemI::init                            : create the stream thread
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000027EBD5823D8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {7372da80-3bdc-40df-af09-5807a4845be2}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {2da530f5-230b-43c9-a729-95b0771c6c45}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {2da530f5-230b-43c9-a729-95b0771c6c45}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {bf297099-1403-479b-b326-132206b24d14}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {2da530f5-230b-43c9-a729-95b0771c6c45}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {7372da80-3bdc-40df-af09-5807a4845be2}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {9e401dea-ae16-4484-83ce-c15fca722326}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {2da530f5-230b-43c9-a729-95b0771c6c45}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {7372da80-3bdc-40df-af09-5807a4845be2}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {2da530f5-230b-43c9-a729-95b0771c6c45}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {7372da80-3bdc-40df-af09-5807a4845be2}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {7372da80-3bdc-40df-af09-5807a4845be2}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {7372da80-3bdc-40df-af09-5807a4845be2}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {2da530f5-230b-43c9-a729-95b0771c6c45}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {2da530f5-230b-43c9-a729-95b0771c6c45}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {7372da80-3bdc-40df-af09-5807a4845be2}
